TITLE,ID,URL,Topic 1,Topic 1 FIT,Topic 2,Topic 2 FIT,Assign Final T£,Topic 3 FIT
Ending Libel Tourism: Reform of EU Defamation law,06b6214f-023c-4c3d-9357-d6e15df0bdf6,https://results2021.ref.ac.uk/impact/06b6214f-023c-4c3d-9357-d6e15df0bdf6,121,4,127,2,126,2
Improving the protection of whistleblowers,69f8e156-791d-451e-bc6d-0d8a854eab5e,https://results2021.ref.ac.uk/impact/69f8e156-791d-451e-bc6d-0d8a854eab5e,121,3,109,2,,
"CLOCK, a transformative methodology for access to justice",1b5a034e-88ca-4f09-af5c-b25eab8a2d62,https://results2021.ref.ac.uk/impact/1b5a034e-88ca-4f09-af5c-b25eab8a2d62,121,4,120,4,119,3
A feminist approach to choice: Cosmetic surgery and marriage law,3cde462c-74cb-44c7-b60b-73ab3139d955,https://results2021.ref.ac.uk/impact/3cde462c-74cb-44c7-b60b-73ab3139d955,121,2,26,2,,
Influencing Legal Practice and Reform in the United States,db40ffee-0a07-4f54-9906-a9c455057221,https://results2021.ref.ac.uk/impact/db40ffee-0a07-4f54-9906-a9c455057221,121,4,120,3,,
Assisted dying: influencing the global debate and changing the law,c715000e-d499-4825-afe8-9cfbb3fb3276,https://results2021.ref.ac.uk/impact/c715000e-d499-4825-afe8-9cfbb3fb3276,121,4,26,3,25,3
Change in Assisted Dying Legislation,e143637d-8851-43b1-a427-4b7e1df9c747,https://results2021.ref.ac.uk/impact/e143637d-8851-43b1-a427-4b7e1df9c747,121,4,26,3,25,3
Combatting sexual bullying in Europe through the peer-led training of young people and legislative change,e6fee502-2c96-4999-8346-adb42b4023cb,https://results2021.ref.ac.uk/impact/e6fee502-2c96-4999-8346-adb42b4023cb,121,4,101,3,,
Advances in the Neuroscience of Trauma & Crime: Transforming justice globally for vulnerable people in custody,a623f49a-a090-4916-a6c6-864f2303fac6,https://results2021.ref.ac.uk/impact/a623f49a-a090-4916-a6c6-864f2303fac6,121,4,8,4,119,3
Case Study 5: Raising the Age of Criminal Responsibility in Scotland and Reducing Youth Offending,ca79012e-c6da-4bac-aa6b-5b45615f82c3,https://results2021.ref.ac.uk/impact/ca79012e-c6da-4bac-aa6b-5b45615f82c3,121,4,119,4,101,3
Enhancing criminal justice practice and processes in rape trials,f464c03e-28c2-4756-8ba6-f421d89bceab,https://results2021.ref.ac.uk/impact/f464c03e-28c2-4756-8ba6-f421d89bceab,121,4,119,2,129,2
Closing justice gaps: Improving the effectiveness of and confidence in Out Of Court Disposals,7291c4e2-8b61-4a26-b4b0-337c1686e156,https://results2021.ref.ac.uk/impact/7291c4e2-8b61-4a26-b4b0-337c1686e156,121,4,119,2,,
Improving Equality of Workers’ Access to Justice,eadb2aa6-bede-4323-a029-4e9782b93ca2,https://results2021.ref.ac.uk/impact/eadb2aa6-bede-4323-a029-4e9782b93ca2,121,4,108,2,109,2
Changing the law on pre-trial detention,22028244-9410-441d-aad2-b91196a4f384,https://results2021.ref.ac.uk/impact/22028244-9410-441d-aad2-b91196a4f384,121,4,119,3,120,3
Abolishing Employment Tribunal Fees,32ef336d-b633-4d71-8398-a7ee3b99d519,https://results2021.ref.ac.uk/impact/32ef336d-b633-4d71-8398-a7ee3b99d519,121,4,108,3,113,2
Strengthening accountability and decision making at the Criminal Cases Review Commission,37165b7e-a3d7-4fc3-ad9c-be4236dc7b8b,https://results2021.ref.ac.uk/impact/37165b7e-a3d7-4fc3-ad9c-be4236dc7b8b,121,4,119,2,,
Abolishing Employment Tribunal Fees,2885972f-52e8-4fd9-ad48-bfa7ff48def9,https://results2021.ref.ac.uk/impact/2885972f-52e8-4fd9-ad48-bfa7ff48def9,121,4,108,3,,
Improving justice by establishing a test of “fitness to plead” in criminal courts,6a37f66a-d6e4-4a3f-a398-f23af9dcf2a4,https://results2021.ref.ac.uk/impact/6a37f66a-d6e4-4a3f-a398-f23af9dcf2a4,121,4,120,3,119,2
Shaping Administrative Justice Policy-Making,df318bf6-b179-4e61-aea5-a22f078396f4,https://results2021.ref.ac.uk/impact/df318bf6-b179-4e61-aea5-a22f078396f4,121,4,113,3,127,2
"Beyond Hillsborough: Inquests, Public Understanding of the Truth and Wider Significance",6c8c4768-15d5-42e0-86dd-07d020019ba9,https://results2021.ref.ac.uk/impact/6c8c4768-15d5-42e0-86dd-07d020019ba9,121,4,136,4,,
Criminalising Coercive Control,4c316a52-9bd9-45de-b71f-455a087a04cb,https://results2021.ref.ac.uk/impact/4c316a52-9bd9-45de-b71f-455a087a04cb,121,4,119,4,101,2
