"topic_id","group_id","topic_group","topic_name","topic_name_long","description","narrative","keywords","X"
119,7,"Society","Crime & Justice","Policing, Crime & Incarceration","Research in this topic addresses the structures and processes of crime and criminal justice, from crime detection to incarceration and rehabilitation. Case studies focused on methods for identifying and preventing crime, with particular emphasis on emerging online threats. They improved efficacy of crime prevention and policing, informing police ethics, job satisfaction and community collaboration. Research informed victim support, and shaped policy and reform in the judicial system to promote fairness and efficiency. Studies also addressed prison life, deepening understanding and supporting rehabilitation, guiding policies to foster reintegration and reduce reoffending.",NA,NA,NA
81,5,"Culture","Music","Music & Sound","Case studies in this topic preserved, recorded/recorded, reinterpreted and promoted musical heritage across historical and global contexts, while pioneering new technologies in sound design, audio curation and immersive experiences. Research celebrates diverse musical traditions, building cross-cultural engagement and understanding. It also advances inclusive music-making, performance and listening experiences. Projects supported therapeutic uses of music, expanding access through innovative technological and curational practices, and enhanced music education, improving cultural understanding and creative participation.",NA,NA,NA
51,3,"Technology","Recycling","Waste Management & Recycling","Case studies in this topic focus on waste management and recycling. Studies tend to consider the environmental and health impacts of waste through innovations in policy, materials, and industrial practice. They include advances in waste management across areas such as plastic, food waste, and electronic waste, alongside circular economy initiatives like carbon-negative building materials and sustainable cosmetics. The research has influenced legislation, developed British Standards, improved public understanding, and fostered commercial success in transforming waste into valuable resources.",NA,NA,NA
92,5,"Culture","Commemoration","Historic Commemoration","Case studies in this topic addressed the commemoration and public understanding of military history by augmenting engagement with historic events, communities and individuals. Case studies developed archival records and increased accessibility though digitisation and public engagement and educational opportunities. Work engaged highlighted the ongoing relevance of historical events, shaping contemporary perceptions of certain events or experiences and informing reconciliation efforts. A key focus was on elevating the narratives of minority or marginalised communities and voices, and developing inclusive approaches to remembrance.",NA,NA,NA
85,5,"Culture","Curation & Engagement","Arts/Heritage Curation & Community Engagement","Research in this topic encourages participation in the arts and heritage for wellbeing, education and community cohesion. Case studies used innovate curatorial and creative practices to bring artistic and historical culture to the public in new forms and settings, fostering inclusivity, co-creation and meaningful dialogue. Many engaged with underrepresented voices or histories to affirm identity, strengthen community ties and influence cultural policy. Many had lasting social and economic benefits for local areas, enhancing the visibility and value of arts and heritage in public life.",NA,NA,NA
90,5,"Culture","Heritage Preservation","Protecting, Digitzing & Archiving Heritage","Research in this topic informs the protection of cultural property and safeguarding of heritage and related community identities. Case studies influence foreign policy, reconciliation efforts and peacebuilding through the protection of cultural assets and promotion of heritage rights. Many projects used digitisation and novel archival techniques to preserve at-risk heritage and improve accessibility. Research also informed conservation in the context of areas of modernisation and regeneration, preserving cultural heritage while serving the needs of communities and infrastructure. International collaboration and innovative technologies and curatorial practices underpinned sustainable conservation. A strong emphasis is on increasing public access and engagement, enhancing the appreciation, resilience and global visibility of cultural heritage.",NA,NA,NA
91,5,"Culture","Archaeology","Archaeology, Heritage, Historical Places","Research in this topic focuses on the preservation, protection and engagement with archaeology, material heritage and historic sites. Case studies inform policy and protection efforts, while new research methods and technologies expand archaeological discovery and curatorial and exhibition practices. Projects enhanced accessibility and visitor experiences through creative staging, performance and digital tools. Educational incentives deepened connections to cultural heritage and identity, fostering cross-cultural understanding and informing local and national narratives. Many projects also generated significant social and economic benefits for heritage sites and their communities.",NA,NA,NA
98,6,"Education","Science Outreach","Science Outreach, Communication & Education","This topic addresses science outreach, communication and education. Case studies in this topic discuss how public understanding may be broadened through participation and access to exhibitions, outreach events, digital platforms, and media. It demonstrates increased engagement with science, for example in astronomy, quantum biology, particle physics, ethics, and evolution, often using creative formats such as museums, storytelling, and art–science collaborations. Studies in this topic also address improvements to education and have impacts in educational resources and curricula, enhancing schooling and improving equality in participation in STEM education and science communication.",NA,NA,NA
111,7,"Society","Business","Business, Entrepreneurialism, Management","Research in this topic supports and informs business, entrepreneurialism, management and policies aimed at improving the founding and productivity of commercial enterprisees. Much research focuses on identifying and implementing effective tools for managing existing firms and means to make entrepreneurs successful. This includes both practices and training inside firms as well as the development of business or entrepreneurialism-friendly policies and funding. We also find several business spinoffs from research or adaptations of research into large companies. A large number of impact projects are concerned with helping small- and medium enterprises (SMEs) grow and with creating business environments, organisational practices, public policies and financial opportunities that help them thrive. Research on management reguarly informs ways to make firms more efficient and to train their staff. Several projects are also concerned with environmental and sustainable practices in business and entrepreneurialism for a greener economy.",NA,NA,NA
24,2,"Health","Ageing","Elderly Care & Diseases","Research in this topic enhances care for the elderly and those living with age-related conditions such as dementia, Alzheimer’s and Parkinson’s disease. Case studies shaped healthcare policy and practice through innovations in early detection, practitioner training and assistive technologies. They addressed social care aspects, many involving families and communities to raise awareness and deliver social initiatives that support independent living, reduce loneliness and promote inclusion, with a key focus on changing perceptions of the elderly and their needs. A key focus in on shifting public understanding of ageing and encouraging lifelong habits and early intervention strategies that support healthy ageing and improved quality of life.",NA,NA,NA
10,2,"Health","Vision Res.","Vision Research, Ophtalmology","This topic covers vision research and opthamology. In general studies in this topic demonstrate research into understanding, diagnosing, preventing, treating and supporting those with vision-threatening conditions. The topic features therapy and treament innovations as well as care and support initiatives for those affected. Research across this topic has enhanced visual care for patients, informed international guidelines, advanced identification and management of optical conditions and been commercialised. Across clinical, community, and global settings, the studies often reflect better service delivery, public health strategies, and increased quality of life for people with visual impairments.",NA,NA,NA
31,2,"Health","Childbirth","Childbirth, Pregnancy, Reproductive Health","The research in this topic addresses reproductive, maternal, and neonatal health. Law, policy and guidance are informed by studies addressing clinical practice, access and equity, as well as the development of therapies are inlcluded here. Studies researching aspects of childbirth and reproductive health such as contraception and fertility, newborn outcomes, bereavement support, and advancements in pharmacological, psychological, behavioural, and assisted reproductive therapies are all encompassed by this topic.",NA,NA,NA
52,3,"Technology","Water","Water-, Flood-, Coastal Management","This topic encompasses research relating to water, flood and coastal management. Studies cover flood risk management and resilience, as well as coastal and marine management, sustainable water systems and infrastructure, environmental water management initiatives as well as water access and equity. Research in this topic is broadly applied, but often showcases technology and methodology for monitoring and detection; modelling, simulation and prediction; treatment and processing; assessment and decision-making; and communication of data to public and professional bodies.",NA,NA,NA
29,2,"Health","Healthcare","Healthcare: Service Provision, Data, Policy","This research topic showcases research across healthcare services, data and policy. It focuses on patient-centred care, digital health innovation, and community engagement for more inclusive, personalised, and effective services. It highlights advances in workforce and organisational transformation, policy influence, and behavioural science to improve both delivery and outcomes. Underpinning these developments are enhanced methods for ensuring safety and clinical quality, supported by rigorous data evaluation and measurement tools.",NA,NA,NA
