Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
48,educational_curriculum_young_health_adopt,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",39,educational_disability_educator_child_classroom,47,agency_risk_health_interview_reform,1.1033307829329146
47,agency_risk_health_interview_reform,"[0, 2, 3, 4, 5, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24]",46,legislation_parliament_governance_police_reform,44,artist_artistic_art_contemporary_curator,1.0662065663632778
46,legislation_parliament_governance_police_reform,"[0, 2, 3, 5, 8, 10, 11, 13, 14, 17, 19, 20, 21, 23]",41,welsh_homeless_homelessness_corpus_housing,45,legislation_parliament_justice_police_crime,0.9664029769446798
45,legislation_parliament_justice_police_crime,"[0, 2, 3, 5, 8, 10, 11, 13, 14, 17, 20, 21]",43,legislation_parliament_justice_governance_police,21,pension_pensioner_retirement_investment_portfolio,0.9352904262757562
44,artist_artistic_art_contemporary_curator,"[4, 9, 15, 18, 22, 24]",35,artistic_artist_art_literature_perform,42,nuclear_radioactive_repository_curator_arctic,0.8839928985110843
43,legislation_parliament_justice_governance_police,"[0, 2, 3, 5, 8, 10, 11, 13, 14, 17, 20]",38,crime_criminal_gang_police_legislation,40,organisational_sustainability_infrastructure_sustainable_strategic,0.8635335197238315
42,nuclear_radioactive_repository_curator_arctic,"[18, 24]",24,tibetan_tibet_caste_dalits_buddhist,18,nuclear_uranium_reactor_radioactive_atomic,0.8612976331127463
41,welsh_homeless_homelessness_corpus_housing,"[19, 23]",19,welsh_corpus_language_speech_english,23,homelessness_homeless_shelter_housing_charity,0.804869048924943
40,organisational_sustainability_infrastructure_sustainable_strategic,"[2, 3, 5, 13, 17]",34,scottish_scotland_highland_ulster_land,29,organisational_infrastructure_sustainability_governance_sustainable,0.7956855916499659
39,educational_disability_educator_child_classroom,"[1, 6, 7, 12, 16]",32,health_depression_disability_therapy_mental,26,educator_curriculum_educational_classroom_pedagogical,0.7904746817649411
38,crime_criminal_gang_police_legislation,"[0, 8, 10, 11, 14, 20]",20,indigenous_aboriginal_tribunal_kampala_legislation,37,justice_criminal_crime_offender_police,0.7492758985429187
37,justice_criminal_crime_offender_police,"[0, 8, 10, 11, 14]",36,criminal_justice_crime_gang_police,11,abortion_surrogate_legislation_parliament_conception,0.744882105581735
36,criminal_justice_crime_gang_police,"[0, 8, 10, 14]",30,participation_civil_political_nation_labour,31,police_crime_violence_criminal_gang,0.6823153055921798
35,artistic_artist_art_literature_perform,"[4, 9, 15, 22]",22,manchester_lincolnshire_lancashire_memorial_building,33,artistic_artist_art_literature_perform,0.6698922595940034
34,scottish_scotland_highland_ulster_land,"[13, 17]",13,scottish_highland_land_scotland_landowner,17,welfare_scottish_voluntary_scotland_sssl,0.66650571391422
33,artistic_artist_art_literature_perform,"[4, 9, 15]",28,artistic_artist_art_literature_perform,15,ecology_nature_environmental_environment_inspire,0.6535199235611063
32,health_depression_disability_therapy_mental,"[6, 7, 16]",6,health_exercise_chronic_clinical_medical,27,health_therapy_disability_depression_childhood,0.6516593113727106
31,police_crime_violence_criminal_gang,"[0, 14]",0,crime_criminal_victim_police_justice,14,empowerment_ngo_gender_uganda_misogyny,0.6079279353219658
30,participation_civil_political_nation_labour,"[8, 10]",8,ideology_brexit_diverse_german_labour,10,peruvian_peru_colombian_andean_indigenous,0.5890720466065102
29,organisational_infrastructure_sustainability_governance_sustainable,"[2, 3, 5]",25,organisational_regulatory_strategic_corporate_firm,3,sustainability_infrastructure_sustainable_environment_ecological,0.5577102152873256
28,artistic_artist_art_literature_perform,"[4, 9]",9,roman_antiquity_ancient_archaeological_archaeology,4,theatre_playwright_audience_performer_perform,0.5087763409482969
27,health_therapy_disability_depression_childhood,"[7, 16]",7,health_neurodevelopmental_depression_therapy_bipolar,16,fatherhood_adoption_parental_parent_motherhood,0.5020305983177429
26,educator_curriculum_educational_classroom_pedagogical,"[1, 12]",12,youth_childhood_intergenerational_child_literacy,1,pedagogical_educator_literacy_educational_curriculum,0.45963023747483034
25,organisational_regulatory_strategic_corporate_firm,"[2, 5]",2,banking_consumer_regulatory_legislation_market,5,organisational_corporate_manage_strategic_firm,0.4185848712952519
