REF impact case study identifier,reassigned,reassignment,final_topic,reassignment_notes
6012d504-d80a-427b-b053-b813864a1e35,1,,82,"At first kicked this out into mental health, but then kept it in and renamed topic as road, workplace and fire safety, add fire safety to text for topic"
638b4528-e6ee-49d5-b809-70fddb0dd174,1,,82,
75be9667-d12d-41d0-8d9c-a0e57b94e489,1,,82,
b89813f0-468c-4b1c-9c8a-d51571788e37,1,,82,
9554697c-d567-4807-8932-42ef64ae9116,0,9,9,
165e8249-4b24-45a2-882d-7c891622f006,1,,82,
2304a169-1a10-45be-8d63-f0da2dc4a5cd,1,,82,
b31d2ddf-392f-4f8f-a33c-02eefeb16eb0,0,57,57,There is a driving application of their immersive technology in there but the VR topic fits more directly
7ea0877f-538e-461e-9cb3-ce00eaa13ff9,1,,82,
868f03c2-3282-4bb6-88ab-8273f23726b8,1,,82,
8a465edb-0ec5-44aa-ac0f-e128ba262494,1,,82,
c43b1f6f-4b12-4460-ae41-f279d526763b,1,,82,
1c4b3576-f674-472d-b9ee-c45b8a319768,1,,82,
a0477cf6-a352-4b65-80d9-36e5c22b86b8,1,,82,
b858ccc1-9dd9-4651-b32a-90f64d119e88,1,,82,
edcb76ca-7264-4e5f-8dc7-7d9a32d443bf,1,,82,
0ce002cc-5e2f-43a5-90c8-4eb228c7f2b5,0,1,1,This is about improving police practice based on new modes of research - fits better with the violent crime and incarceration topic as that is where most of the policing stuff is 
23ec0e2b-437d-4110-b6b5-1f2bd511710f,1,,81,
d3101cee-b7e9-4766-9e27-c29bd2514188,1,,81,
05057e3b-d0b1-406c-ab3f-f952a5a21186,0,45,45,This is about broader equality/equity in international human rights law 
22a20aaa-0e90-42fd-b613-562ef681a3ea,1,,81,
5ec8a0f8-8a2b-4f44-832f-da63ad7b1d76,1,,81,
a3dfba5e-f8a8-4ee7-a806-5c04c9ed1152,1,,81,
a236775e-efb7-43ae-b6d0-f122c08f649c,1,,81,
5a81f164-42cb-4a5c-842f-0879394f117d,0,15,15,Not sure if this is better placed in film or gender 
8fd5c076-d75d-4c24-8fb0-1658a0e6c574,1,,81,
9551b110-414c-4fcc-8671-2a655eeffbc6,1,,81,
4d06e45c-1a6a-48e3-a12c-aa9ad1349bc9,1,,81,
fbbe326a-0d79-4ca9-9210-e98d61b35091,1,,81,
55997e6a-beeb-4aa9-9a55-66a545e181ee,1,,81,
ccf605c6-2e77-4c32-b9d4-203c9a1ee3fe,0,21,21,This is about international law/guidelines for conflict zone
f11a578a-5439-4e2d-96bb-c7a185bc9cc8,0,7,7,This is about equity for BAME teachers
1f332137-00d2-4687-a6e3-4eb3017017eb,0,29,29,This is about equity in early years education for future international development 
8b8592d8-5abd-4278-9ead-db452cba68a1,0,16,16,Its tax reform in Chile. 
e3df7a95-b93f-46fb-a3b7-b954c37624b4,0,13,13,Putting this in employment conditions as wages stuff has landed there generally
4c129af1-9e6c-4632-8269-2075f7fd9e13,0,29,29,This is about education guidelines again
ae42e941-9547-432f-8888-524f739aeeb5,1,,81,
b98b80a2-2cb5-4008-a92e-5477b3655818,0,29,29,This is about school policies creating long-term social capital 
986ae6e2-88b2-4cfb-8e97-f59e7f8ca394,0,13,13,This is about employment and management schemes to support greater diversity 
