BERT_topic,Topic Name,Short Name,Charlie_Suggested,Hierarchical Grouping,Cluster,Topic Notes
0,"Sports, exercise, obesity, nutrition, performance, coaching, therapy",,Y,"Sports, exercise, obesity, nutrition, performance, coaching, therapy",9. Health and wellbeing,"(59) Coaching, Athletics; (8) Sports; (46).Athletes, endurance; (11).Psychiatric therapy; (13) Trials, therapy; (39) Activity, diet; (77) Exercise, food, health"
1,Violent crime and incarceration,,Y,"Crime, prisons, violence, forensics, gambling, hate speech","6. Crime, exclusion and safeguarding","(16) Crime enforcement;(19) Violence, rape, abuse;(23) Prisons, prisoners;(26) Judicial proceedings;(34) Safeguarding, children, vulnerable;(71) Forensics, gambling, hate speech"
2,"Productivity, industry, entrepreneurship",,Y,"Productivity, SMEs, efficiency",4. Productivity and Finance,"(3) Productivity, SMEs, entrepreneurs; (27) Industry, efficiency"
3,Music and acoustics,,N,"Cultural capital, art, literature, theatre","1. The Arts: Fostering Inclusion, Cohesion, Identity",(2). Music and acoustics
4,"Care, support, family, children",,Y,"Care, support, family, children","7. Family, care, children, sexualities & gender ",(1) Care efficiency and prevention; (12) Parental & early childhood care; (69) Excluded youth;(83) Child empowerment
5,Conservation,,Y,"Sustainability, ecosystem conservation, renewable energy, climate change","10. Renewable energy, climate, infrastructure & ecosystem",(6) Ecosystem conservation; (74) Sustainability
6,Healthcare efficiency and prevention,,N,Healthcare efficiency and prevention,9. Health and wellbeing,(parts of 1) Healthcare efficiency and prevention
7,Teaching and tools,,Y,"Teaching, teachers, educational tools","3. Education, Teaching, Skills Acquisition",(17) Teaching and teachers; (72) Quantitative educational tools
8,Local housing and homelessness,,Y,"Housing, affordability, market, innovation, energy homelessness","10. Renewable energy, climate, infrastructure & ecosystem","(54) Local urban; (51) Housing, housing policy, housing market; (94) Homelessness"
9,"Language, linguistics and culture",,Y,"Language acquisition, preservation, multilingualism","3. Education, Teaching, Skills Acquisition","(47) Language learning, linguistics; (90) Welsh language, culture"
10,Cultural Exhibits and Preservation,,Y,"Cultural exhibits, antiquity, conservation","2. Cultural engagement: Archaeology, Exhibits, Galleries ",(0) Cultural exhibits; (5) Conservation; (80) Influence of antiquity
11,"Film, cinema, creative industries",,N,"Film, cinema, documentaries, creative industries","2. Cultural engagement: Archaeology, Exhibits, Galleries ","(divided 0) Film, cinema, creative industries"
12,"Art, gallery, museum, curation",,N,"Art, gallery, museum, curation","2. Cultural engagement: Archaeology, Exhibits, Galleries ","(divided 0) Art, gallery, museum, curation"
