funder,id
EU,0
ESRC,1
AHRC,2
EPSRC,3
Nuffield,4
Innovate UK,5
BBSRC,6
Medical Research Council,7
NIHR Central Commissioning Facility,8
Wellcome Trust,9
Economic and Social Research Council,10
Department for International Development,11
Bill & Melinda Gates Foundation,12
Department for Environment Food and Rural Affairs,13
British Deer Society ,14
Arts and Humanities Research Council,15
Leverhulme Trust,16
Ungulates Research Group,17
National Institute for Health Research,18
Nominet Trust (now called SocialTechTrust.org),19
Research England (SWCTN),20
"Arts Council England (Elbow, Heavy Rock, Conductor|8 Movements)",21
Business sponsorship:  Annely Juda Gallery,22
 Mirvish Barford Sculptures ltd,23
 Ambit,24
 (Artist Boss),25
Public sector sponsorship: Hubbub,26
 Stripe ,27
 Fairhurst Donations: Pangaea Sculptors foundation,28
 Bancroft Educational trust (Artist Boss) ,29
University funding: Norwich University,30
 Bennington College (Artist Boss),31
Jerwood Foundation (Joyride),32
New Expressions (Heavy Rock),33
Amgueddfa Cymru- National Museum Wales (Mute),34
The Derek Williams Trust (Mute),35
The Colwinston Charitable Trust (Mute),36
"In Certain Places/The Harris Museum & Art Gallery, Preston  (Conductor|8 Movements)",37
School of the Art Institute Chicago Sullivan Galleries (Kidd),38
Modern Art Oxford (Kidd),39
"Greater Taiwan Biennale, Taiwan (Kidd)",40
"Drill Hall Canberra, Australia (Kidd)",41
Getty Foundation,42
Engineering and Physical Sciences Research Council (EPSRC),43
 Innovate UK,44
European Commission,45
Engineering and Physical Sciences Research Council,46
Gilead Sciences Ltd,47
Department of Health,48
Pfizer Limited,49
GlaxoSmithKline UK Ltd,50
Kennel Club Charitable Trust,51
Dog Welfare Trust,52
Isaac Newton Trust,53
Waltham Foundation,54
Greenwich Leisure Ltd (GLL),55
Arts Council England ,56
Scottish Enterprise,57
Qatar National Research Fund,58
DEFRA,59
British Academy ,60
"Edmund J. Safra Center for Ethics, Harvard University",61
Avaaz,62
Dfid,63
Arts Council England,64
Scottish Graduate School of Arts and Humanities,65
Museums Galleries Scotland,66
Hugh Fraser Foundation,67
HIGHER EDUCATION FUND COUNCIL FOR ENGLAND (UK),68
British Academy,69
Social Sciences and Humanities Research Council of Canada,70
European Parliament,71
Department for the Economy Northern Ireland,72
Wrexham County Borough Council (Ty Pawb),73
MOSTYN Gallery,74
European Research Council,75
Literature Wales,76
British Council,77
"The School of Advanced Study, London, AHRC and British Academy",78
The Health Foundation,79
Arts and Humanities Research Council ,80
British Council and Higher Education Commission (HEC) Pakistan,81
BIS and British Council,82
ESRC (Economic and Social Research Council),83
Hull City Council ,84
Ferens Education Trust,85
AHRC - Arts and Humanities Research Council,86
The Royal Society,87
Biotechnology and Biological Sciences Research Council,88
"Department for Environment, Food and Rural Affairs",89
Royal Society,90
Horticultural Development Council,91
Erasmus+,92
Acacia project,93
NIHR,94
STFC,95
ERC,96
Aldeburgh Music,97
"St George's, Bloomsbury",98
Centre 151,99
"Bluecoat, Liverpool",100
UKRI: Economic and Social Research Council (ESRC),101
Arts and Humanities Research Council (AHRC),102
Atlas Genetics (now Binx Health),103
Research Council of Norway,104
Department of Business Energy Industrial Srategy,105
Arts Council,106
AstraZeneca,107
The Executive Office (TEO),108
Heritage Lottery Fund,109
ADUS Deepocean,110
Scottish Enterprise: Wrecksight development funding,111
Ministry of Defence: Salvage and Marine Operations,112
Titan Salvage,113
"National Oceanic and Atmospheric Administration (NOAA, USA)",114
Microsoft,115
"IELTS Partners (Comprising of British Council, Cambridge Assessment English, & IDP Australia)",116
"The Language Training and Testing Center (LTTC), Taiwan",117
1) Wellcome Trust,118
2) Wellcome Trust,119
 Cancer Research UK,120
 AstraZeneca (United Kingdom),121
University of Leicester,122
,123
CET PINGGAO GROUP CO LTD (CHINA),124
"HENAN PINGGAO ELECTRIC CO., LTD (CHINA)",125
HYOSUNG CORPORATION POWER & INDUST SYSTEMS (KOREA),126
SHANGHAI SIEYUAN ELECTRIC CO LTD (CHINA),127
The Humane Research Trust Laboratory,128
Fight for sight,129
HOYA surgical optics,130
Royal Academy of Engineering,131
Amey Roads Northern Ireland,132
Northern Ireland Department for the Economy,133
Departement Omegiving ,134
Chartered Institute of Building Services Engineers,135
Hilton Worldwide,136
"Welsh Government, UK Government,",137
Welsh Language Commissioner,138
Lloyds,139
MRC,140
European Commission ,141
Innovate UK ,142
Australian Research Council (ARC),143
Cerebra,144
National Institute for Health Research (NIHR),145
Remedi,146
Children’s Foundation,147
NIHR Research for Patient Benefit Programme,148
Big Lottery Fund,149
Southway Housing Trust,150
Greater Manchester Combined Authority,151
Northern Ireland Public Health Agency,152
Global Alliance for Livestock Veterinary Medicines (GALVmed),153
Chief Scientist's Office CSO,154
MRC Confidence in Concept,155
BBSRC (Biotech & Biological Sciences Research Council),156
SULSA (University Administered),157
OECD,158
Defra,159
British Heart Foundation ,160
Novartis (CH),161
Novartis (US),162
Novartis (UK),163
ApaTech,164
Philips Netherlands,165
Philips Lighting,166
Invest Northern Ireland,167
ProVita Eurotech,168
1) Medical Research Council,169
2) Cancer Research UK,170
3) National Institute for Health Research,171
Yorkshire Innovation Fund,172
DTI,173
Visit Wales,174
H+H UK Limited,175
Environment Agency,176
Scottish Environmental Protection Agency,177
Scottish Government,178
Cancer Research UK,179
Fight for Sight,180
National Institute of Health Research (NIHR),181
European Institute of Innovation and Technology,182
Camden and Islington NHS Foundation Trust,183
Google United Kingdom,184
Cambridge Technology and Trust Initiative,185
Facebook United Kingdom,186
UK Foreign and Commonwealth Office,187
Nuffield Foundation,188
Chief Scientist Office (Scotland),189
Health Protection Scotland/Scottish Infection Research Network,190
European Centre for Disease Prevention and Control,191
Scottish Government Health Directorate,192
World Health Organization,193
European Union ,194
European Union,195
LSE Covid Rapid Response Fund,196
Breast Cancer Now,197
Cancer Research Wales,198
Merck KGaA,199
Natural Environment Research Council,200
Jeremy Benn Associates,201
"Innovate UK, NHS X",202
 Royal Academy of Engineering,203
DSTL,204
EC,205
WellcomeTrust,206
British Heart Foundation,207
Colt Foundation,208
AHDB-HGCA & SEERAD (Scot Gov),209
AHDB,210
grid.420736.4,211
Scottish Executive Central Research Unit,212
Scottish Executive,213
Scottish Health Action on Alcohol Problems,214
Scottish Graduate School for Arts and Humanities (SGSAH) ,215
Association of Art Historians (AAH),216
CSO,217
Digital Health Institute,218
World Health Organization ,219
Open Society Foundations Fellowship,220
Royal Academy/Leverhulme Trust,221
"UNITE the Union, Unison, Mandate Trade Union, the CWU Ireland, the GMB.",222
Department for the Economy,223
Joseph Rowntree Charitable Trust,224
PPARC,225
DoD,226
ESPRC,227
UCB-Celltech,228
GlaxoWellcome,229
UCL Business (UCLB),230
TSB/Innovate,231
 EPSRC,232
AstraZeneca AB (Sweden),233
EPSRC (Engineering and Physical Sciences Research Council),234
Cure Huntington’s Disease Initiative (CHDI) formerly HighQ Foundation,235
Cantervale ,236
Economic & Social Research Council,237
UK Research and Innovation,238
Pfizer,239
Health Data Research UK,240
Health & Social Care Board,241
SELEX,242
Qinetiq UK Ltd,243
EC Framework Projects,244
EUROPEAN COMMISSION,245
SCIENCE AND TECHNOLOGY FACILITIES COUNCIL (STFC),246
Rafael del Pino Foundation,247
Caja Madrid Foundation,248
University of Oxford,249
University Association for Contemporary European Studies,250
Human Rights Consortium of the University of London,251
Macquarie research development grant,252
EU Jean Monnet MAPS project,253
Roche,254
Digital Catapult/Arts Council,255
UKRI,256
Joseph Rowntree Foundation,257
NERC,258
The Wellcome Trust,259
Department for International Development (DFID),260
  Engineering and Physical Sciences Research Council (EPSRC),261
Arts & Humanities Research Council,262
"United Nations Educational, Scientific and Cultural Organization ",263
Higher Education Funding Council for England,264
GCRF QR,265
Scottish Funding Council,266
Sutton Trust,267
EUROPEAN REGIONAL DEVELOPMENT FUND,268
Marie Curie,269
BT,270
Research England,271
UKRI/AHRC,272
National Lottery Awards for All,273
UNICEF,274
Robert Bosch Stiftung,275
Esmée Fairbairn Foundation,276
 ESRC,277
 University of Exeter,278
Lloyd's register educational trust,279
Sustainable inshore fisheries trust,280
Natural and Environmental Research Council (NERC),281
"Centre for Environment, Fisheries and Aquaculture Science (CEFAS) on behalf of EDF Energy",282
English Heritage,283
G3.1) National Grid,284
G3.2) Innovate UK,285
G3.3) European Regional Development Fund (ERDF),286
ESRC-IRC UK/Ireland Networking Grant,287
OECD - Organisation for Economic Co-operation and Development,288
ESRC - Economic & Social Research Council,289
Institute of Chartered Accountants Scotland,290
"Dept for Business, Energy & Industrial Strategy",291
Centre for Development & Enterprise,292
Enterprise Research Centre,293
 Arts Council England,294
 National Lottery,295
Welsh Government,296
Biotechnology and Biological Sciences Research Council (BBSRC) Animal Health and Welfare ERA-NET (ANIHWA),297
Fauna & Flora International,298
Department for Work and Pensions,299
NORFACE/ESRC,300
DEPARTMENT FOR INTERNATIONAL DEVELOPMENT (DFID) (UK),301
DEPARTMENT OF HEALTH (UK) (NIHR),302
NATIONAL INSTITUTES OF HEALTH (NIH) (USA),303
PUBLIC HEALTH INSTITUTE (USA),304
THE RESEARCH COUNCIL OF NORWAY (NORWAY),305
National Science Foundation,306
Higher Education Academy,307
  Learning and Teaching Support Network,308
 Higher Education Funding Council for England (HEFCE),309
 JISC,310
London Borough of Barking and Dagenham,311
NIHR with Novartis,312
Parkinson’s UK,313
The Michael J Fox Foundation,314
NHS Research Scotland (NRS) and Scottish universities,315
"AstraZeneca, UK",316
"GlaxoSmithKline, UK",317
"Boehringer-Ingelheim, UK",318
"Merck, UK",319
"Janssen, Belgium",320
"Pfizer, UK",321
Wellcome,322
defra,323
NICE,324
Food Standards Agency,325
Welsh Water,326
"European Fisheries Fund, Bangor Mussel Producers, Welsh Water",327
"Seafish, Food Standards Agency, Environment Agency.",328
GCRF-UKRI,329
European Fisheries Control Agency,330
Bord na Gaidhlig,331
Soillse,332
UK Home Office,333
UK Department for Transport,334
 US Department of Homeland Security,335
Cosmonio Ltd,336
 Micro-X Ltd (Australia),337
"Rapiscan Ltd (OSI Systems, UK)",338
Aerospace Technology Institute,339
1) Royal Academy of Engineering,340
2) EDF,341
3) EDF,342
4) EDF,343
5) EDF,344
West Midlands Police,345
European Union (ERASMUS+),346
"Amsted Rail, USA (https://www.amstedrail.com/)",347
EU - European Union,348
NIHR National Inst Health Research,349
Welsh Government – European Social Fund,350
Welsh European Funding Office - ERDF,351
Myositis Support Group,352
Arthritis Research Campaign (now Versus Arthritis),353
Bath Institute for Rheumatic Diseases,354
Raynaud's and Scleroderma Association,355
European Commission (FP7),356
Barrow Cadbury Trust (BCT),357
The Disabilities Trust,358
The Children's Commissioner for England,359
The United Kingdom Acquired Brain Injury Forum,360
British Orthopaedic Association,361
Economic and Social Research Council (ESRC),362
Epilepsy Research Foundation,363
SPARKS,364
Action Medical Research,365
European Commission DG Sante,366
Chafea,367
Rosetree’s Trust,368
Epilepsy Research UK,369
Great Ormond Hospital Children’s Charity,370
"Council for Museums, Libraries and Archives",371
Glasgow Museums,372
National Trust,373
CONICET,374
Scottish Funding Council SFC,375
Highlands & Islands Enterprise HIE,376
Skills Development Scotland Co Ltd,377
United Nations Children’s Fund (UNICEF) ,378
Global Partnership for Education (GPE),379
Royal Institution of Chartered Surveyors Research Trust ,380
Wellcome Collection,381
Erasmus Plus,382
TrygFonden Organisation,383
Versus Arthritis,384
Engineering and Physical Science Research Council,385
Arthritis Research UK,386
Peter Harrison Foundation:  UK Sport,387
 British Triathlon,388
  British Triathlon Federation,389
   Engineering and Physical Sciences Research Council (EPSRC),390
 Higher Education Innovation Fund,391
 Wakayama University,392
BBSRC  ,393
Lonza,394
Prostate Cancer UK,395
Commission of the European Communities,396
SIPS grant,397
DyCom,398
DyVOSE,399
European Comission/ GEANT,400
University of Nottingham,401
Sao Paulo Research Foundation,402
Istanbul Development Agency,403
Norwegian Ministry of Foreign Affairs,404
Great Ormond Street Children's Charity,405
Jonah's Just Begun Foundation to cure Sanfilippo Inc,406
Society for Mucopolysaccharide Diseases,407
National MPS Society,408
Newlife Foundation,409
Orchard Therapeutics Ltd,410
John D. and Catherine T. MacArthur Foundation,411
UNFAO (via AlterSpark),412
United Nations Universities,413
Belgian Government (via Idea Consult),414
HEFCE,415
Climate and Clean Air Coalition (CCAC),416
Open Society Foundations,417
Joseph Rowntree Reform Trust,418
British Academy/Leverhulme,419
Arts Humanities Research Council,420
NERC (Natural Environment Research Council),421
Department of Health and Social Care,422
INTERREG VA,423
InvestNI,424
EU CEC,425
CEC,426
British Skin Foundation,427
UK Government - DEFRA,428
UK Government - DECC,429
 Cairns Charitable Trust,430
 Isaac Newton Trust,431
 Economic and Social Research Council,432
 The Alborada Trust,433
 Wellcome Trust,434
University of Bristol,435
AHRC (Arts and Humanities Research Council),436
,437
"Department of Digital, Culture, Media and Sport",438
Canadian Institutes for Health Research,439
UK New Dynamics of Ageing Research Programme,440
Paul Hamlyn Foundation,441
Big Lottery Reaching Communities,442
Asthma UK,443
Synairgen,444
University Hospital Southampton,445
Department for International Development (DfID),446
3ie International Initiative for Impact Evaluation,447
 Boeing United Kingdom,448
 Templeton World Charity Foundation,449
 DeepMind United Kingdom,450
ENGINEERING & PHYSICAL SCIENCES RESEARCH COUNCIL (EPSRC),451
OpenAI,452
Google DeepMind,453
EU Commission,454
Multiple Sclerosis Society,455
Moulton Charitable Trust,456
1) EPSRC,457
2) European Cooperation in Science and Technology (COST),458
3) EPSRC,459
4) EPSRC,460
5) NHS Blood and Transplant,461
6) EPSRC,462
7) EPSRC,463
8) NHS Blood and Transplant,464
The Woodspring Trust,465
The British Academy,466
Foreign and Commonwealth Office,467
Leverhulme Foundation,468
HERA (Humanities in the European Research Area),469
Academic Health Science Network for the North East and North Cumbria (AHSN),470
Dunhill Medical Trust (DMT),471
ALPRO Foundation,472
"Department for Children, Schools & Families",473
The Nuffield Foundation,474
Natural Environment Research Council (NERC),475
Natural Environment Research Council (NERC) (via ESPA),476
Pharmacy Research UK/ UK Clinical Pharmacy Association,477
Partnership for Clean Competition,478
UKAD,479
Leverhulme Trust / British Academy ,480
Leverhulme Trust ,481
European Centre for Medium-Range Weather Forecasts,482
Climate Central,483
Department for Environment Food and Rural Affairs (DEFRA),484
The League against Cruel Sports (LACS),485
Home Office,486
DFID,487
ZimmerBiomet,488
Pfizer AIR foundation ,489
Society for Applied Microbiology,490
EPSRC/JM,491
Johnson Matthey,492
Air Force Office of Scientific Research,493
Airbus (Germany),494
Science and Technology Facilities Council,495
Department of Trade and Industry,496
Technology Strategy Board,497
Food Standards Scotland,498
European Food Standards Agency (EFSA),499
Food Safety Authority for Scotland (FSAS),500
Leverhulme trust,501
TSB ,502
Unielectronics Ltd ,503
Unielectronics Ltd,504
TSB,505
TMP Ltd,506
Royal Society of Edinburgh Scotland Foundation,507
Northern Ireland Judicial Appointments Commission,508
NIHR Health Technology Assessment,509
Castang Foundation,510
The Children’s Foundation,511
Wellchild,512
AB Vista,513
Historic England,514
 European Research Council,515
 British Council,516
 Department of Science and Technology,517
 Leverhulme Trust Trust,518
A.G. Leventis Foundation,519
Heritage Lottery Fund (HLF),520
Oxford University Fell Fund,521
Council for British Archaeology,522
The Water Trust (ARCSR): UK registered charity (no. 1160565),523
Deregallera,524
Solaris,525
INTAS,526
Templeton World Charity Foundation,527
Innovate UK  ,528
Betsi Cadwaladr University Health Board,529
University of Cambridge,530
Bayer Pharma AG,531
Newcastle Healthcare Charity,532
Cancer Research UK/Imperial Cancer Research Fund,533
National Institute for Health Research ,534
Cancer Research UK (Catalyst Award),535
Barbour Foundation,536
BBSRC - Biotechnology and Biological Sciences Research Council,537
British Society of Soil Science,538
MASTS -  Marine Alliance for Science and Technology for Scotland,539
NERC - Natural Environment Research Council,540
Scottish Natural Heritage,541
The Royal & Ancient Golf Club of St Andrews,542
University of Glasgow,543
IUCN,544
People's Postcode Lottery,545
Public Health Scotland,546
College of Optometrists,547
Bausch and Lomb,548
Medicontur,549
Arcadia Fund,550
Office of Naval Research,551
Royal Astronomical Society,552
Rolls Royce,553
Muscular Dystrophy UK,554
Muscular Dystrophy Group of GB ,555
"FP7-NMP - Specific Programme ""Cooperation"": Nanosciences, Nanotechnologies, Materials and new Production Technologies",556
"FP7-PEOPLE - Specific programme ""People"" implementing the Seventh Framework Programme of the European Community for research, technological development and demonstration activities (2007 to 2013)",557
EPCC,558
eCSE,559
First Grant Scheme,560
