Key,Value
1e6e075e-d5f5-421c-bb45-2708636b5190,"Everyday Bordering, Belonging, and the Reorientation of British Immigration Legislation ,Bordering,Go Home? The Politics of Immigration Controversies,Media and the Making of Migrants ,Refugees and Forced Migrants ,The Marginalised in Genocide Narratives"
73be8e7c-907e-4e5b-8a8b-953b4d394c1b,"Titles: ,3D-Vision Based Detection, Localization, and Sizing of Broccoli Heads in the Field,RASberry - Robotic and Autonomous Systems for Berry Production,3D Soil Compaction Mapping through Kriging-based Exploration with a Mobile Robot,Kriging‐based Robotic Exploration for Soil Moisture Mapping Using a Cosmic‐Ray Sensor,A Case-Based Economic Assessment of Robotics Employment in Precision Arable Farming,Robotics and Labour in Agriculture. A Context Consideration"
d59a4fa1-5e19-4394-bf46-451d905f0fa6,"Titles: ,Prevention of relapse/recurrence in major depression by Mindfulness-Based Cognitive Therapy,How does Mindfulness-Based Cognitive Therapy work?,Mindfulness-Based Cognitive Therapy for reDepression: Replication and exploration of differential relapse prevention effects,Effectiveness and cost-effectiveness of Mindfulness-Based Cognitive Therapy compared with maintenance anti-depressant treatment in the prevention of depressive relapse/recurrence,Efficacy and moderators of Mindfulness-Based Cognitive Therapy (MBCT) in prevention of depressive relapse,A mindfulness-based intervention to increase resilience to stress in university students (the Mindful Student Study)"
ee22b99e-4fdb-470e-ab7f-7be0d4043431,"1. Estimating the hidden burden of bovine tuberculosis in Great Britain,2. Potential benefits of cattle vaccination as a supplementary control for bovine tuberculosis,3. The intractable challenge of evaluating cattle vaccination as a control for bovine Tuberculosis,4. Risk factors and variations in detection of new bovine tuberculosis breakdowns via slaughterhouse surveillance in Great Britain,5. Prevalence of bovine tuberculosis and its associated risk factors in the emerging dairy belts of regional cities in Ethiopia"
acc14d05-f0e5-49e9-b962-75cb0c786250,"Titles,A circular economy use of recovered sludge cellulose in wood plastic composite production: Recycling and eco-efficiency assessment ,Incorporation of tyre rubber into wood plastic composites to develop novel multifunctional composites: Interface and bonding mechanisms ,Revealing the interface structure and bonding mechanism of coupling agent treated WPC ,Fire resistance characterisation of hemp fibre reinforced polyester composites for use in the construction industry ,Investigation of bulk and in situ mechanical properties of coupling agents treated wood plastic composites ,Classification of wood fibre geometry and its behaviour in wood poly(lactic acid) composites"
6cfef3d3-5578-48a3-bbae-5b4706fa7df4,".,,Characteristics and outcome of patients with DNACPR orders in an acute hospital; an observational study ,Interpretation and intent: a study of the (mis)understanding of DNAR orders in a teaching hospital ,Do Not Attempt Cardiopulmonary Resuscitation orders in acute medical settings: a qualitative study ,The Universal Form of Treatment Options (UFTO) as an alternative to Do Not Attempt Cardiopulmonary Resuscitation (DNACPR) orders: a mixed methods evaluation of the effects on clinical practice and patient care ,Development of the Recommended Summary Plan for Emergency Care and Treatment (ReSPECT)"
6c88b4ac-0cd4-4234-96e0-befc2565917b,"Titles,State of the Science of Endocrine Disrupting Chemicals - 2012,A Proposed Framework for the Systematic Review and Integrated Assessment (SYRINA) of Endocrine Disrupting Chemicals,Review of the Environmental Protection Agency's State-of-the-Science Evaluation of Nonmonotonic Dose-Response Relationships as They Apply to Endocrine Disruptors,Scientific Issues Relevant to Setting Regulatory Criteria to Identify Endocrine Disrupting Substances in the European Union,The Path Forward on Endocrine Disruptors Requires Focus on the Basics,Scientific Principles for the Identification of Endocrine-Disrupting Chemicals: A Consensus Statement"
cfee92aa-3213-4aca-b740-311988235284,"Young people and smart phones: An empirical study on information security ,On the role of value sensitive concerns in software engineering practice ,An approach to early evaluation of informational privacy requirements ,An exploration of resilience and values in the co-design of sociotechnical systems,Youth Justice in the Digital Age: A Case Study of Practitioners’ Perspectives on the Challenges and Opportunities of Social Technology in Their Techno-Habitat in the United Kingdom ,Value-sensitive co-design for resilient information systems"
960e8f89-2153-4f5f-b2cb-b82bb13733c6,"consists of a catalogue, publication, website, social media platforms, interactive map, exhibition, conference and public symposium,,Titles: ,Rediscovering feminist photographer Franki Raffles ,Observing Women at Work – Franki Raffles,Observing Women at Work: the feminist practice of Franki Raffles ,The Franki Raffles Archive research project"
c4f2289e-9fd4-471b-bcdf-8b2ce16a99d0,".,,,Fit for School: Results of a 10-Week School-Based Child Healthy Weight Pilot Intervention for Primary School Students ,The 10-Week Lifestyle Intervention Fit for School: Impact on Obesity Indices, Biomarkers, and Blood Pressure ,Primary School Children’s Health Behaviors, Attitudes, and Body Mass Index After a 10-Week Lifestyle Intervention with Follow-up ,A Feasibility Study with Process Evaluation of a Teacher Led Resource to Improve Measures of Child Health ,Exploring the Feasibility of a Cluster Randomised Control Trial to Improve Children’s 24-Hour Movement Behaviours and Dietary Intake: Happy Homework"
