Key,Value
1e6e075e-d5f5-421c-bb45-2708636b5190,https://doi.org/10.1177/0038038517702599
73be8e7c-907e-4e5b-8a8b-953b4d394c1b,"http://dx.doi.org/10.1002/rob.21726,http://dx.doi.org/10.1115/1.2018\-JUN\-6,http://doi.org/10.1109/LRA.2018.2849567"
d59a4fa1-5e19-4394-bf46-451d905f0fa6,
ee22b99e-4fdb-470e-ab7f-7be0d4043431,http://doi.org/10.1371/journal.pcbi.1002730
cdedee72-274f-4f42-8596-ba4c5454cd06,"https://doi.org/10.1007/s11896-016-9207-8,https://doi.org/10.1080/1068316X.2015.1028544,https://doi.org/10.1002/acp.3253,https://doi.org/10.1080/1068316X.2018.1503667)<ins>.</ins,https://doi.org/10.1177%2F0093854815604179,https://doi.org/10.1111/lcrp.12016)<ins>.</ins"
ecf2a5ba-383e-48a1-91dc-c11219f5be9a,"https://doi.org/10.1038/hdy.2017.11,https://doi.org/10.1179/1749631414Y.0000000043,https://doi.org/10.1080/20548923.2016.1208027,https://doi.org/10.1080/00794236.2019.1654732,https://doi.org/10.1080/14614103.2017.1349027,https://doi.org/10.1002/oa.2523"
acc14d05-f0e5-49e9-b962-75cb0c786250,"https://doi.org/10.1016/j.wasman.2019.08.037,https://doi.org/10.3390/polym10030266,https://doi.org/10.1016/j.compositesb.2013.12.014,https://doi.org/10.1016/j.polymertesting.2016.12.026,https://doi.org/10.1016/j.compositesa.2020.105871"
6cfef3d3-5578-48a3-bbae-5b4706fa7df4,
6c88b4ac-0cd4-4234-96e0-befc2565917b,"http://dx.doi.org/10.1186/s12940-016-0156-6,http://dx.doi.org/10.1289/EHP217,http://dx.doi.org/10.1093/toxsci/kfv255,http://dx.doi.org/10.1007/s00204-016-1866-9"
cfee92aa-3213-4aca-b740-311988235284,"https://doi.org/10.1109/HICSS.2014.554,https://doi.org/10.1109/ICSE.2015.182,https://doi.org/10.1145/2695664.2695788,https://doi.org/10.1177/1473225419869568,https://doi.org/10.2478/slgr\-2020\-0032"
e2b00394-d011-40f7-b4b2-3356794d9cc5,"https://doi.org/10.17870/bathspa.c.4327292.v3,https://doi.org/10.17870/bathspa.c.4677767.v1,https://doi.org/10.17870/bathspa.c.5136749.v1,https://doi.org/10.17870/bathspa.c.5129240,https://doi.org/10.17870/bathspa.c.5004560.v1,https://doi.org/10.17870/bathspa.c.5075225.v1"
960e8f89-2153-4f5f-b2cb-b82bb13733c6,
c4f2289e-9fd4-471b-bcdf-8b2ce16a99d0,"http://doi/10.1080/14635240.2016.1157511,https://doi.org/10.14485/HBPR.4.2.5,https://doi.org/10.3389/fped.2018.00137,https://doi.org/10.1371/journal.pone.0218243"
3fc46187-d61b-4415-aed8-57e1d0a8eba0,
93c37d0f-1849-4b00-a07c-373b3b56360a,"https://doi.org/10.1007/s11249\-013\-0243\-6,https://doi.org/10.1177/0954407013511795,https://doi.org/10.1177/1350650116684985,https://doi.org/10.1177/0954406217737327,https://doi.org/10.1177/0954407018758567,https://doi.org/10.1177/1464419317710157"
66e938df-d188-4182-9990-2dec54af6a00,"http://doi.org/10.1080/10580530.2020.1696526,http://doi.org/10.1007/s10796-017-9802-y,http://doi.org/10.1007/s10796-017-9817-4,http://doi.org/10.1016/j.ibusrev.2016.06.004,http://dx.doi.org/10.1016/j.ijinfomgt.2019.102057,http://doi.org/10.1016/j.ijinfomgt.2019.102057,http://dx.doi.org/10.1108/ITP-08-2016-0178,http://doi.org/10.1108/ITP-08-2016-0178"
2aefe25b-98c5-4366-bee5-64d9f559eac5,"https://doi.org/10.1093/ijlct/ctp028,https://doi.org/10.1080/09613218.2013.772043,https://doi.org/10.1080/09613218.2017.1356130,https://doi.org/10.1016/j.jclepro.2017.10.262,https://doi.org/10.1016/j.enbuild.2020.110514"
b7b0eb55-4c09-4894-8825-f0247bd32f80,"https://doi.org/10.1111/j.1365-2893.2005.00698.x,https://doi.org/10.1016/j.jhep.2016.01.029,https://doi.org/10.1053/j.gastro.2019.05.007,https://doi.org/10.1002/hep.26926"
5d564082-2d5d-41b5-a169-7f11c137fbaa,
c90a1c87-9575-45fd-a37a-e736c3b739d7,"https://doi.org/10.1093/police/pay034,https://doi.org/10.1108/IJHCQA\-08\-2017\-0159"
c28c36bd-ad72-4aa3-865f-17432ddae321,
c223df8c-01cb-401f-9a9d-3386ebae96a5,
3f91fcbb-1fb1-454d-9ee3-b87de7881607,"https://doi.org/10.1192/bjp.2017.29,https://doi.org/10.1186/s40359\-018\-0253\-0,https://doi.org/10.1177/0305735617742197,https://doi.org/10.1177/0255761418771092,https://doi.org/10.1177/2059204317745746,https://doi.org/10.1016/j.puhe.2017.01.016"
0eb17497-a615-4f0b-97ad-d7be4543b4d6,
adc80482-fc3c-4952-a37c-f5e9f43d7728,"https://doi.org/10.1080/19407960902992191,https://doi.org/10.1080/19406940.2010.488060,https://doi\-org.ezproxy.napier.ac.uk/10.3727/152599517X14942648527536,https://doi.org/10.1016/j.tourman.2018.06.018,https://doi.org/10.1108/JPBM\-08\-2019\-2539"
8f802bfb-795a-4c66-9357-7532277fd40d,
f4dc7ac5-25f3-4c05-9dcc-5ef75994ced2,
f84c8965-1e54-40fd-9b3c-7e68a9aebaec,
84a4ad06-92ef-4178-8b53-fd9d3ada750a,"https://doi.org/10.1080/13664530.2012.668103,https://doi.org/10.4018/ijcallt.2012100103,https://doi.org/10.1080/19415257.2013.766232,https://doi.org/10.1177/0033688213488466,https://doi.org/10.1080/09585176.2012.737539"
3c54584b-5c70-4b2d-a90a-4cd28bac0e4d,
d292cf2d-0773-4452-8515-5b0e0752bdb4,"https://doi.org/10.1080/1070289X.2015.1054828,https://doi.org/10.1080/02642069.2017.1333601,https://doi.org/10.4324/9780429202964\-4"
baf6d3df-a6c7-4c8c-b958-82768271d1d0,
13822b1e-9ea7-426c-8d72-a8f061d7924a,"https://doi.org/10.1177/0894439319865519,https://doi.org/10.1080/1369118X.2020.1792531"
9d4284f3-e9e8-4d8b-9f62-df68c52fdb35,"https://doi.org/10.1080/13645145.2014.908503,http://dx.doi.org/10.1080/13645145.2014.908504,http://dx.doi.org/10.1080/14781700.2015.1090910"
a55bb562-0696-4665-8480-0ebd649f926d,
54b2816b-2569-40de-890b-d097f6f038c6,
c2ac4193-ff3d-4bde-9641-12309a896394,"https://doi.org/10.1080/09654313.2012.741571,https://doi.org/10.1080/13562576.2018.1505491,https://doi.org/10.1080/14650045.2018.1496910,https://doi.org/10.1080/07907184.2013.875896"
de7b5750-1615-4cd7-bd7a-6fbc7b22d3c2,
640a0ff5-afa1-4a31-9441-b4a37e32cfac,
db8090f9-2c4a-45bd-a67c-977353397ed3,"https://doi.org/10.1386/peet\_00004\_1,https://doi.org/10.1386/peet_00004_1%20output%201,http://doi.org/10.16995/bst.337"
